season,team,wins,losses,win_pct,goals_favor,goals_against,goal_diff
1990,Boston Bruins,44,24,0.55,299,264,35
1990,Buffalo Sabres,31,30,0.388,292,278,14
1990,Calgary Flames,46,26,0.575,344,263,81
1990,Chicago Blackhawks,49,23,0.613,284,211,73
1990,Detroit Red Wings,34,38,0.425,273,298,-25
1990,Edmonton Oilers,37,37,0.463,272,272,0
1990,Hartford Whalers,31,38,0.388,238,276,-38
1990,Los Angeles Kings,46,24,0.575,340,254,86
1990,Minnesota North Stars,27,39,0.338,256,266,-10
1990,Montreal Canadiens,39,30,0.487,273,249,24
1990,New Jersey Devils,32,33,0.4,272,264,8
1990,New York Islanders,25,45,0.312,223,290,-67
1990,New York Rangers,36,31,0.45,297,265,32
1990,Philadelphia Flyers,33,37,0.412,252,267,-15
1990,Pittsburgh Penguins,41,33,0.512,342,305,37
1990,Quebec Nordiques,16,50,0.2,236,354,-118
1990,St. Louis Blues,47,22,0.588,310,250,60
1990,Toronto Maple Leafs,23,46,0.287,241,318,-77
1990,Vancouver Canucks,28,43,0.35,243,315,-72
1990,Washington Capitals,37,36,0.463,258,258,0
1990,Winnipeg Jets,26,43,0.325,260,288,-28
1991,Boston Bruins,36,32,0.45,270,275,-5
1991,Buffalo Sabres,31,37,0.388,289,299,-10
1991,Calgary Flames,31,37,0.388,296,305,-9
1991,Chicago Blackhawks,36,29,0.45,257,236,21
1991,Detroit Red Wings,43,25,0.537,320,256,64
1991,Edmonton Oilers,36,34,0.45,295,297,-2
1991,Hartford Whalers,26,41,0.325,247,283,-36
1991,Los Angeles Kings,35,31,0.438,287,296,-9
1991,Minnesota North Stars,32,42,0.4,246,278,-32
1991,Montreal Canadiens,41,28,0.512,267,207,60
1991,New Jersey Devils,38,31,0.475,289,259,30
1991,New York Islanders,34,35,0.425,291,299,-8
1991,New York Rangers,50,25,0.625,321,246,75
1991,Philadelphia Flyers,32,37,0.4,252,273,-21
1991,Pittsburgh Penguins,39,32,0.487,343,308,35
1991,Quebec Nordiques,20,48,0.25,255,318,-63
1991,San Jose Sharks,17,58,0.212,219,359,-140
1991,St. Louis Blues,36,33,0.45,279,266,13
1991,Toronto Maple Leafs,30,43,0.375,234,294,-60
1991,Vancouver Canucks,42,26,0.525,285,250,35
1991,Washington Capitals,45,27,0.562,330,275,55
1991,Winnipeg Jets,33,32,0.412,251,244,7
1992,Boston Bruins,51,26,0.607,332,268,64
1992,Buffalo Sabres,38,36,0.452,335,297,38
1992,Calgary Flames,43,30,0.512,322,282,40
1992,Chicago Blackhawks,47,25,0.56,279,230,49
1992,Detroit Red Wings,47,28,0.56,369,280,89
1992,Edmonton Oilers,26,50,0.31,242,337,-95
1992,Hartford Whalers,26,52,0.31,284,369,-85
1992,Los Angeles Kings,39,35,0.464,338,340,-2
1992,Minnesota North Stars,36,38,0.429,272,293,-21
1992,Montreal Canadiens,48,30,0.571,326,280,46
1992,New Jersey Devils,40,37,0.476,308,299,9
1992,New York Islanders,40,37,0.476,335,297,38
1992,New York Rangers,34,39,0.405,304,308,-4
1992,Ottawa Senators,10,70,0.119,202,395,-193
1992,Philadelphia Flyers,36,37,0.429,319,319,0
1992,Pittsburgh Penguins,56,21,0.667,367,268,99
1992,Quebec Nordiques,47,27,0.56,351,300,51
1992,San Jose Sharks,11,71,0.131,218,414,-196
1992,St. Louis Blues,37,36,0.44,282,278,4
1992,Tampa Bay Lightning,23,54,0.274,245,332,-87
1992,Toronto Maple Leafs,44,29,0.524,288,241,47
1992,Vancouver Canucks,46,29,0.548,346,278,68
1992,Washington Capitals,43,34,0.512,325,286,39
1992,Winnipeg Jets,40,37,0.476,322,320,2
1993,Mighty Ducks of Anaheim,33,46,0.393,229,251,-22
1993,Boston Bruins,42,29,0.5,289,252,37
1993,Buffalo Sabres,43,32,0.512,282,218,64
1993,Calgary Flames,42,29,0.5,302,256,46
1993,Chicago Blackhawks,39,36,0.464,254,240,14
1993,Dallas Stars,42,29,0.5,286,265,21
1993,Detroit Red Wings,46,30,0.548,356,275,81
1993,Edmonton Oilers,25,45,0.298,261,305,-44
1993,Florida Panthers,33,34,0.393,233,233,0
1993,Hartford Whalers,27,48,0.321,227,288,-61
1993,Los Angeles Kings,27,45,0.321,294,322,-28
1993,Montreal Canadiens,41,29,0.488,283,248,35
1993,New Jersey Devils,47,25,0.56,306,220,86
1993,New York Islanders,36,36,0.429,282,264,18
1993,New York Rangers,52,24,0.619,299,231,68
1993,Ottawa Senators,14,61,0.167,201,397,-196
1993,Philadelphia Flyers,35,39,0.417,294,314,-20
1993,Pittsburgh Penguins,44,27,0.524,299,285,14
1993,Quebec Nordiques,34,42,0.405,277,292,-15
1993,San Jose Sharks,33,35,0.393,252,265,-13
1993,St. Louis Blues,40,33,0.476,270,283,-13
1993,Tampa Bay Lightning,30,43,0.357,224,251,-27
1993,Toronto Maple Leafs,43,29,0.512,280,243,37
1993,Vancouver Canucks,41,40,0.488,279,276,3
1993,Washington Capitals,39,35,0.464,277,263,14
1993,Winnipeg Jets,24,51,0.286,245,344,-99
1994,Mighty Ducks of Anaheim,16,27,0.333,125,164,-39
1994,Boston Bruins,27,18,0.562,150,127,23
1994,Buffalo Sabres,22,19,0.458,130,119,11
1994,Calgary Flames,24,17,0.5,163,135,28
1994,Chicago Blackhawks,24,19,0.5,156,115,41
1994,Dallas Stars,17,23,0.354,136,135,1
1994,Detroit Red Wings,33,11,0.688,180,117,63
1994,Edmonton Oilers,17,27,0.354,136,183,-47
1994,Florida Panthers,20,22,0.417,115,127,-12
1994,Hartford Whalers,19,24,0.396,127,141,-14
1994,Los Angeles Kings,16,23,0.333,142,174,-32
1994,Montreal Canadiens,18,23,0.375,125,148,-23
1994,New Jersey Devils,22,18,0.458,136,121,15
1994,New York Islanders,15,28,0.312,126,158,-32
1994,New York Rangers,22,23,0.458,139,134,5
1994,Ottawa Senators,9,34,0.188,117,174,-57
1994,Philadelphia Flyers,28,16,0.583,150,132,18
1994,Pittsburgh Penguins,29,16,0.604,181,158,23
1994,Quebec Nordiques,30,13,0.625,185,134,51
1994,San Jose Sharks,19,25,0.396,129,161,-32
1994,St. Louis Blues,28,15,0.583,178,135,43
1994,Tampa Bay Lightning,17,28,0.354,120,144,-24
1994,Toronto Maple Leafs,21,19,0.438,135,146,-11
1994,Vancouver Canucks,18,18,0.375,153,148,5
1994,Washington Capitals,22,18,0.458,136,120,16
1994,Winnipeg Jets,16,25,0.333,157,177,-20
1995,Mighty Ducks of Anaheim,35,39,0.427,234,247,-13
1995,Boston Bruins,40,31,0.488,282,269,13
1995,Buffalo Sabres,33,42,0.402,247,262,-15
1995,Calgary Flames,34,37,0.415,241,240,1
1995,Chicago Blackhawks,40,28,0.488,273,220,53
1995,Colorado Avalanche,47,25,0.573,326,240,86
1995,Dallas Stars,26,42,0.317,227,280,-53
1995,Detroit Red Wings,62,13,0.756,325,181,144
1995,Edmonton Oilers,30,44,0.366,240,304,-64
1995,Florida Panthers,41,31,0.5,254,234,20
1995,Hartford Whalers,34,39,0.415,237,259,-22
1995,Los Angeles Kings,24,40,0.293,256,302,-46
1995,Montreal Canadiens,40,32,0.488,265,248,17
1995,New Jersey Devils,37,33,0.451,215,202,13
1995,New York Islanders,22,50,0.268,229,315,-86
1995,New York Rangers,41,27,0.5,272,237,35
1995,Ottawa Senators,18,59,0.22,191,291,-100
1995,Philadelphia Flyers,45,24,0.549,282,208,74
1995,Pittsburgh Penguins,49,29,0.598,362,284,78
1995,San Jose Sharks,20,55,0.244,252,357,-105
1995,St. Louis Blues,32,34,0.39,219,248,-29
1995,Tampa Bay Lightning,38,32,0.463,238,248,-10
1995,Toronto Maple Leafs,34,36,0.415,247,252,-5
1995,Vancouver Canucks,32,35,0.39,278,278,0
1995,Washington Capitals,39,32,0.476,234,204,30
1995,Winnipeg Jets,36,40,0.439,275,291,-16
1996,Mighty Ducks of Anaheim,36,33,0.439,245,233,12
1996,Boston Bruins,26,47,0.317,234,300,-66
1996,Buffalo Sabres,40,30,0.488,237,208,29
1996,Calgary Flames,32,41,0.39,214,239,-25
1996,Chicago Blackhawks,34,35,0.415,223,210,13
1996,Colorado Avalanche,49,24,0.598,277,205,72
1996,Dallas Stars,48,26,0.585,252,198,54
1996,Detroit Red Wings,38,26,0.463,253,197,56
1996,Edmonton Oilers,36,37,0.439,252,247,5
1996,Florida Panthers,35,28,0.427,221,201,20
1996,Hartford Whalers,32,39,0.39,226,256,-30
1996,Los Angeles Kings,28,43,0.341,214,268,-54
1996,Montreal Canadiens,31,36,0.378,249,276,-27
1996,New Jersey Devils,45,23,0.549,231,182,49
1996,New York Islanders,29,41,0.354,240,250,-10
1996,New York Rangers,38,34,0.463,258,231,27
1996,Ottawa Senators,31,36,0.378,226,234,-8
1996,Philadelphia Flyers,45,24,0.549,274,217,57
1996,Phoenix Coyotes,38,37,0.463,240,243,-3
1996,Pittsburgh Penguins,38,36,0.463,285,280,5
1996,San Jose Sharks,27,47,0.329,211,278,-67
1996,St. Louis Blues,36,35,0.439,236,239,-3
1996,Tampa Bay Lightning,32,40,0.39,217,247,-30
1996,Toronto Maple Leafs,30,44,0.366,230,273,-43
1996,Vancouver Canucks,35,40,0.427,257,273,-16
1996,Washington Capitals,33,40,0.402,214,231,-17
1997,Mighty Ducks of Anaheim,26,43,0.317,205,261,-56
1997,Boston Bruins,39,30,0.476,221,194,27
1997,Buffalo Sabres,36,29,0.439,211,187,24
1997,Calgary Flames,26,41,0.317,217,252,-35
1997,Carolina Hurricanes,33,41,0.402,200,219,-19
1997,Chicago Blackhawks,30,39,0.366,192,199,-7
1997,Colorado Avalanche,39,26,0.476,231,205,26
1997,Dallas Stars,49,22,0.598,242,167,75
1997,Detroit Red Wings,44,23,0.537,250,196,54
1997,Edmonton Oilers,35,37,0.427,215,224,-9
1997,Florida Panthers,24,43,0.293,203,256,-53
1997,Los Angeles Kings,38,33,0.463,227,225,2
1997,Montreal Canadiens,37,32,0.451,235,208,27
1997,New Jersey Devils,48,23,0.585,225,166,59
1997,New York Islanders,30,41,0.366,212,225,-13
1997,New York Rangers,25,39,0.305,197,231,-34
1997,Ottawa Senators,34,33,0.415,193,200,-7
1997,Philadelphia Flyers,42,29,0.512,242,193,49
1997,Phoenix Coyotes,35,35,0.427,224,227,-3
1997,Pittsburgh Penguins,40,24,0.488,228,188,40
1997,San Jose Sharks,34,38,0.415,210,216,-6
1997,St. Louis Blues,45,29,0.549,256,204,52
1997,Tampa Bay Lightning,17,55,0.207,151,269,-118
1997,Toronto Maple Leafs,30,43,0.366,194,237,-43
1997,Vancouver Canucks,25,43,0.305,224,273,-49
1997,Washington Capitals,40,30,0.488,219,202,17
1998,Mighty Ducks of Anaheim,35,34,0.427,215,206,9
1998,Boston Bruins,39,30,0.476,214,181,33
